,기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
43044,20244,D,발달상권,3120067,장안동사거리,CS300029,애완동물,55107066,2005,41097540,14009526,7686749,9618969,9083578,8403834,6304410,6178090,7831436,0,0,13398319,22824014,17582939,1301794,27080395,28026671,0,10284515,5754973,7687323,14314306,17065949,1479,526,319,393,285,260,222,241,285,0,0,448,770,722,65,970,1035,0,307,362,288,491,557
43045,20244,A,골목상권,3110314,종암경찰서,CS300029,애완동물,5990005,158,4383663,1606342,300251,375314,885740,120100,2702258,1606342,0,0,0,2109263,1613848,2266894,0,3100091,2889914,0,345288,300251,1463723,3212685,668058,106,52,8,7,31,8,52,52,0,0,0,52,45,61,0,75,83,0,15,8,36,68,31
43046,20244,D,발달상권,3120076,수유역,CS300029,애완동물,12068965,20,12068965,0,4926108,0,1724138,3448276,1970443,0,0,0,0,0,1724138,10344827,0,10344827,1724138,0,0,10344827,0,1724138,0,20,0,5,0,5,5,5,0,0,0,0,0,5,15,0,15,5,0,0,15,0,5,0
43047,20244,R,전통시장,3130146,쌍문시장(쌍문역골목시장),CS300029,애완동물,150000000,7650,118681296,31318704,16166425,22957433,33267918,21555858,24733662,22662687,8656017,0,195850,42596429,43789775,63417946,0,31588737,118411263,1481853,8594294,11814808,19451873,68520561,40136611,6131,1519,1177,1165,1353,1240,1196,1088,431,0,19,2089,1878,3664,0,1554,6096,114,430,899,1131,3486,1590
43048,20244,R,전통시장,3130147,쌍문역동측상점가,CS300029,애완동물,35182779,1822,24783441,10399338,4850057,5443960,4942073,3835873,5711478,5975172,4424166,717945,1083012,6776484,11017126,12594838,2993374,14108353,21074426,41788,4206399,10777513,4327702,7083118,8746259,1275,547,299,229,209,256,282,303,244,69,92,263,489,731,178,729,1093,6,269,707,271,325,244
43049,20244,A,골목상권,3110564,홍대입구역 3번,CS300029,애완동물,9790148,25,9790148,0,0,0,0,0,9790148,0,0,0,0,2008236,1255147,6526765,0,6526765,3263383,1255147,0,8535001,0,0,0,25,0,0,0,0,10,15,0,0,0,0,5,5,15,0,5,20,5,0,10,0,10,0
43050,20244,R,전통시장,3130213,방신전통시장,CS300029,애완동물,12932052,782,9753304,3178748,1557804,1976982,1906682,1774664,2537172,2105415,1073333,0,974379,3150695,5935401,2871577,0,5018854,7853007,0,287801,363583,1940343,3947636,6332497,604,178,123,136,107,111,127,105,73,0,47,173,378,184,0,250,528,0,23,47,90,236,383
43051,20244,R,전통시장,3130221,"남부골목시장(남부화곡시장, 남부시장)",CS300029,애완동물,170440826,11065,131207640,39233186,38302197,23722594,12287267,27622199,29273383,18250852,20982334,0,9178123,38363678,73583079,49315946,0,50993478,119447348,0,15984866,13349998,17091510,61111370,62903082,8167,2898,1669,1757,790,1932,2019,1317,1581,0,615,2108,4742,3600,0,3513,7552,0,965,1317,966,3426,4391
43052,20244,D,발달상권,3120145,영등포역(영등포),CS300029,애완동물,218730720,2721,117828890,100901830,32522242,28047077,25456118,12208670,19594783,17265742,83636088,0,3138359,67496450,65707639,81278107,1110165,105567576,113163144,96822,32112419,71123014,63853604,35192350,16352511,1627,1094,307,423,352,295,250,422,672,0,71,538,941,1119,52,989,1732,12,554,879,698,429,149
43053,20244,D,발달상권,3120186,가로수길,CS300029,애완동물,83377380,545,81092211,2285169,68145293,4134306,2418071,2959610,3434931,1264206,1020963,0,1376598,5546180,5738560,70716042,0,73462992,9647764,0,66632812,890203,2839200,7133842,5614698,467,78,116,91,81,105,74,45,33,0,41,171,144,189,0,237,304,0,45,83,89,203,121
43054,20244,D,발달상권,3120230,송파사거리(송파역),CS300029,애완동물,7517511,197,4871761,2645750,980086,1059677,934901,628467,1268630,1735163,910587,0,703928,1942741,1953979,2916863,0,3408626,4108885,0,213311,992472,1438133,2172566,2701029,128,69,22,28,28,14,36,41,28,0,19,50,50,78,0,78,119,0,14,28,32,50,73
44341,20242,D,발달상권,3120207,선정릉역,CS300029,애완동물,164566905,277,121596834,42970071,45839771,7962076,43824945,0,23970042,19276607,23693464,0,12571700,13845633,37715100,93310509,7123963,85708822,78858083,0,46012422,31088976,61483994,25981513,0,185,92,76,16,51,0,42,33,59,0,16,33,58,136,34,134,143,0,85,67,117,8,0
44342,20242,A,골목상권,3110128,성원중학교,CS300029,애완동물,53465839,27,0,53465839,0,0,0,0,0,53465839,0,0,0,0,0,53465839,0,53465839,0,0,0,53465839,0,0,0,0,27,0,0,0,0,0,27,0,0,0,0,0,27,0,27,0,0,0,27,0,0,0
44343,20242,A,골목상권,3110405,방학역 1번,CS300029,애완동물,109941795,3449,70425036,39516759,12357025,16220129,11969779,12938412,16939691,21522115,17994644,0,21997434,34843304,27380830,23771884,1948343,33229794,76712001,0,8229229,21957068,15511206,27330977,36913315,2397,1052,485,484,418,459,551,619,433,0,464,996,836,1035,118,1109,2340,0,307,529,612,903,1098
44344,20242,R,전통시장,3130146,쌍문시장(쌍문역골목시장),CS300029,애완동물,150000000,8267,117677850,32322150,18958428,24572635,26188397,22122017,25836373,19010684,13311466,0,747020,30317521,31826251,86452078,657130,38039775,111960225,1676111,6950403,12814994,29191776,71797980,27568736,6855,1412,1337,1411,1334,1450,1323,951,461,0,58,1420,1850,4878,61,2285,5982,122,343,1009,1554,3870,1369
44345,20242,A,골목상권,3110416,노원초등학교,CS300029,애완동물,18949238,516,16308646,2640592,4265171,2921468,3671344,2296863,3153800,2640592,0,0,2013386,6237380,4989904,5708568,0,7389496,11559742,0,1499746,3795310,2182867,4452856,7018459,426,90,99,101,82,61,83,90,0,0,48,152,156,160,0,191,325,0,39,121,40,113,203
44346,20242,D,발달상권,3120055,군자역,CS300029,애완동물,91345503,8858,62476686,28868817,12960077,12052501,8225622,14079038,15159448,15381810,13487007,5469196,5774785,11747424,12028249,35100580,21225269,31074420,60271083,475417,22660738,36909795,8726721,13863530,8709302,5820,3038,1149,996,893,1378,1404,1532,1506,384,689,1098,995,3241,2451,3309,5549,52,2013,4054,905,1110,724
45660,20242,A,골목상권,3110867,국제신학대학원대학교(남서울중학교),CS300029,애완동물,147755112,5058,111953109,35802003,21708234,29779966,19746511,20990154,19728244,17453431,18348572,3416152,10859738,26447284,38797425,51953337,16281176,55550203,92204909,94313,23397703,33110439,28845526,31638482,30668649,3652,1406,787,940,661,604,660,745,661,140,337,941,1153,1911,576,1912,3146,28,1119,1261,766,963,921
45661,20242,D,발달상권,3120185,논현역,CS300029,애완동물,11886030,117,11093121,792909,2277675,5652008,0,3163438,0,33684,759225,0,0,1012300,5314575,5559155,0,5778546,4589034,0,1560629,4125063,3964842,717046,0,102,15,25,51,0,26,0,7,8,0,0,8,59,50,0,42,58,0,18,49,24,8,0
45662,20242,D,발달상권,3120225,잠실새내역(신천),CS300029,애완동물,42818971,1184,28558012,14260959,15363094,3446156,2231161,3428645,4088956,3739877,10521082,0,132740,6639823,7758792,16262791,12024825,26680509,16138462,0,10217030,12917849,6717289,9107335,3859468,867,317,167,198,124,187,191,215,102,0,11,339,441,384,9,340,844,0,76,98,359,464,187
45663,20242,A,골목상권,3111060,암사역 2번(서울강동초등학교),CS300029,애완동물,4212344,150,3715202,497142,1528845,812534,812533,486451,74839,0,497142,0,0,1170689,1796127,1245528,0,609400,3602944,358156,0,74839,470414,1261566,2047369,129,21,33,32,33,20,11,0,21,0,0,44,32,74,0,21,129,11,0,11,32,54,42
45666,20242,A,골목상권,3110118,왕십리역 9번,CS300029,애완동물,5887298,438,3417791,2469507,918991,1358875,352007,492511,295407,1467107,1002400,0,287464,779479,1701448,2925278,193629,1640381,3812494,52131,1008358,1440795,679189,1920396,352006,279,159,79,60,40,45,55,94,65,0,40,30,130,203,35,135,298,15,99,119,40,120,40
45667,20242,A,골목상권,3110544,망리단길,CS300029,애완동물,117000000,7368,85066426,31933574,17685335,19538838,13428402,18273153,16140698,15279262,16654312,0,3529463,21540984,28946544,58144590,4838419,50968879,66031121,0,11783137,13616439,17378478,47282484,26939462,5275,2093,1028,1047,1092,1076,1032,995,1098,0,283,1516,1816,3375,378,2660,4708,0,767,1111,1241,2583,1666
46982,20242,D,발달상권,3120160,사당역(사당),CS300029,애완동물,25350015,592,15185060,10164955,2456782,3831551,3406075,2492067,2998585,6158117,4006838,0,1176942,7848634,8418665,6793484,1112290,6531460,18818555,0,1427128,6544208,6339098,7214860,3824721,392,200,59,95,82,54,102,127,73,0,32,127,219,168,46,145,447,0,37,136,136,178,105
46983,20242,A,골목상권,3110507,명지대학교,CS300029,애완동물,68147049,2359,41369510,26777539,4059721,12139474,14990153,5049664,5130498,17445963,9331576,0,1978457,19101853,21850191,23057274,2159274,25833458,38746706,0,1879173,4713546,21349679,12510864,24126903,1419,940,191,345,431,237,215,528,412,0,110,535,766,906,42,974,1322,0,65,153,642,502,934
