No,분류,분류,분류,2024년 3분기,2024년 3분기,2024년 3분기,2024년 4분기,2024년 4분기,2024년 4분기,2025년 1분기,2025년 1분기,2025년 1분기
No,분류,분류,분류,소득수익률,자본수익률,투자수익률,소득수익률,자본수익률,투자수익률,소득수익률,자본수익률,투자수익률
No,분류,분류,분류,%,%,%,%,%,%,%,%,%
229,전남,여수여문,여수여문,0.38,-0.06,0.32,0.54,-0.11,0.43,0.53,-0.17,0.36
230,전남,여수원도심,여수원도심,0.79,-0.16,0.63,0.91,-0.19,0.72,0.86,-0.21,0.65
231,전남,여수학동,여수학동,0.52,-0.06,0.46,0.66,-0.21,0.45,0.64,-0.22,0.42
232,전남,조례,조례,0.90,0.12,1.02,0.92,-0.04,0.87,0.90,-0.15,0.76
233,전남,하당신도심,하당신도심,0.60,0.08,0.67,0.89,-0.02,0.87,0.84,-0.04,0.80
234,경북,경북,경북,0.67,0.14,0.81,0.83,-0.06,0.77,0.82,-0.09,0.74
235,경북,가흥택지개발지구,가흥택지개발지구,0.77,0.48,1.26,0.87,0.28,1.15,0.86,0.25,1.11
236,경북,경산시청,경산시청,0.54,0.20,0.74,0.75,-0.23,0.52,0.74,-0.25,0.49
237,경북,경주도심,경주도심,0.57,0.10,0.67,0.76,-0.07,0.69,0.75,-0.01,0.74
238,경북,구미산업단지,구미산업단지,0.52,-0.05,0.47,0.68,-0.08,0.60,0.68,-0.24,0.44
239,경북,구미선주원남동,구미선주원남동,0.69,0.18,0.88,0.83,-0.05,0.79,0.82,-0.38,0.44
240,경북,구미역,구미역,0.69,0.22,0.91,0.86,-0.03,0.83,0.85,-0.19,0.66
241,경북,문경점촌흥덕,문경점촌흥덕,0.82,0.08,0.90,1.02,0.08,1.10,1.01,0.04,1.05
242,경북,상주동문동,상주동문동,0.63,0.55,1.18,0.79,0.06,0.85,0.73,-0.15,0.58
243,경북,안동구도심,안동구도심,0.76,-0.04,0.72,0.95,-0.14,0.81,0.95,-0.18,0.76
244,경북,양덕동,양덕동,0.39,-0.03,0.36,0.56,-0.21,0.35,0.55,-0.09,0.46
245,경북,영일대해수욕장,영일대해수욕장,0.74,0.06,0.80,0.91,0.01,0.91,0.88,-0.01,0.87
246,경북,영주중앙,영주중앙,0.58,0.04,0.62,0.93,-0.23,0.71,0.93,-0.25,0.68
247,경북,옥동사거리,옥동사거리,0.61,0.17,0.77,0.80,0.01,0.81,0.79,-0.02,0.77
248,경북,포항원도심,포항원도심,0.71,0.01,0.72,0.85,-0.06,0.80,0.85,-0.06,0.78
249,경북,포항중앙,포항중앙,0.60,0.10,0.70,0.73,-0.04,0.68,0.75,-0.09,0.66
250,경북,포항효자동,포항효자동,0.62,0.16,0.78,0.77,-0.17,0.60,0.74,-0.11,0.63
251,경북,황리단길,황리단길,0.99,0.26,1.25,1.12,0.09,1.20,1.09,0.05,1.13
252,경남,경남,경남,0.63,-0.26,0.37,0.78,-0.41,0.37,0.76,-0.37,0.39
